rho,noise,network,n_sens,expect,ga_acc,rnd_acc,drop_s,drop_i,share_i
0.55,0.44999999999999996,47,7,3.608,0.6909090909090909,0.3909090909090909,0.08831168831168827,0.0363636363636363,0.29166666666666635
0.55,0.44999999999999996,48,7,3.6416,0.7545454545454545,0.41818181818181815,0.054545454545454515,0.0454545454545454,0.45454545454545436
0.55,0.44999999999999996,49,4,0.5264,1.0,0.42727272727272725,0.07272727272727267,0.04545454545454545,0.3846153846153848
0.6,0.4,0,5,1.8224,0.9090909090909092,0.4545454545454545,0.11272727272727265,0.07878787878787873,0.41139240506329117
0.6,0.4,1,5,1.632,0.9181818181818182,0.3636363636363636,0.14545454545454545,0.0909090909090909,0.38461538461538464
0.6,0.4,2,5,2.0816,0.8727272727272727,0.3545454545454545,0.10727272727272719,0.036363636363636334,0.25316455696202533
0.6,0.4,3,5,2.6432,0.7181818181818181,0.21818181818181817,0.05454545454545447,0.039393939393939335,0.4193548387096774
0.6,0.4,4,7,2.9824,0.8636363636363636,0.5818181818181818,0.12467532467532463,-0.009090909090909,-0.0786516853932576
0.6,0.4,5,2,0.3664,0.9363636363636364,0.3545454545454545,0.1272727272727272,0.12121212121212126,0.4878048780487807
0.6,0.4,6,8,3.3344,0.7272727272727273,0.2727272727272727,0.06590909090909086,,
0.6,0.4,7,8,3.3456,0.8636363636363636,0.39999999999999997,0.1545454545454545,,
0.6,0.4,8,4,3.1568,0.8272727272727273,0.20909090909090908,0.09999999999999995,0.07272727272727265,0.42105263157894723
0.6,0.4,9,4,2.0272,0.8545454545454545,0.3909090909090909,0.22954545454545439,0.08409090909090897,0.2681159420289853
0.6,0.4,10,5,3.5728,0.4727272727272727,0.3909090909090909,0.0018181818181818,-0.0424242424242424,
0.6,0.4,11,6,2.7664,0.8363636363636363,0.47272727272727266,0.08636363636363625,0.0636363636363636,0.4242424242424244
0.6,0.4,12,4,0.4864,0.8636363636363636,0.2818181818181818,0.13636363636363633,0.034090909090909075,0.19999999999999996
0.6,0.4,13,5,2.7472,0.9636363636363636,0.47272727272727266,0.09999999999999994,0.06060606060606053,0.3773584905660376
0.6,0.4,14,4,1.0992,0.8545454545454545,0.3454545454545454,0.19090909090909083,0.10227272727272724,0.34883720930232553
0.6,0.4,15,7,3.0608,0.7727272727272727,0.3181818181818182,0.0766233766233766,0.0545454545454545,0.4158415841584157
0.6,0.4,16,5,3.0176,0.9181818181818182,0.44545454545454544,0.21818181818181817,0.10909090909090909,0.3333333333333333
0.6,0.4,17,7,3.224,0.5636363636363636,0.23636363636363633,0.02337662337662333,-0.0454545454545455,
0.6,0.4,18,6,3.0512,0.6181818181818182,0.48181818181818176,0.042424242424242364,-0.0045454545454545504,-0.12000000000000033
0.6,0.4,19,7,2.3536,0.8454545454545455,0.3545454545454545,0.08441558441558437,0.0545454545454545,0.39252336448598124
0.6,0.4,20,6,1.0224,1.0,0.39999999999999997,0.11515151515151512,0.04999999999999995,0.3027522935779815
0.6,0.4,21,7,2.2368,0.8363636363636363,0.3181818181818181,0.09480519480519471,0.0818181818181817,0.463235294117647
0.6,0.4,22,3,0.9472,0.8818181818181818,0.3454545454545454,0.054545454545454536,0.03454545454545454,0.3877551020408163
0.6,0.4,23,6,2.8112,0.6090909090909091,0.32727272727272727,0.03484848484848485,0.045454545454545504,0.5660377358490569
0.6,0.4,24,7,2.1504,0.8,0.4545454545454545,0.06753246753246753,0.0545454545454545,0.4468085106382977
0.6,0.4,25,4,1.1104,0.9272727272727272,0.3909090909090909,0.31590909090909086,0.03636363636363632,0.1032258064516128
0.6,0.4,26,3,1.6688,0.9,0.48181818181818176,0.08484848484848484,0.0909090909090909,0.5172413793103449
0.6,0.4,27,7,3.1648,0.7363636363636363,0.2909090909090909,0.135064935064935,-0.0090909090909091,-0.07216494845360835
0.6,0.4,28,6,2.0128,0.8363636363636363,0.3363636363636363,0.11515151515151505,0.054545454545454446,0.32142857142857123
0.6,0.4,29,8,2.6832,0.7636363636363637,0.3545454545454545,0.09999999999999998,,
0.6,0.4,30,7,2.6496,0.8454545454545455,0.4545454545454545,0.0597402597402597,0.0090909090909091,0.1320754716981134
0.6,0.4,31,7,2.7552,0.8181818181818182,0.3636363636363636,0.10259740259740258,0.0818181818181819,0.4436619718309862
0.6,0.4,32,6,1.8256,0.9727272727272728,0.509090909090909,0.04545454545454547,0.03181818181818185,0.4117647058823531
0.6,0.4,33,6,3.1696,0.6818181818181818,0.3636363636363636,0.1196969696969696,0.0681818181818182,0.36290322580645185
0.6,0.4,34,6,2.6912,0.8363636363636363,0.32727272727272727,0.15757575757575745,0.109090909090909,0.4090909090909091
0.6,0.4,35,3,0.1504,0.8909090909090909,0.1727272727272727,0.08181818181818169,0.0781818181818181,0.4886363636363637
0.6,0.4,36,6,1.0448,0.9181818181818182,0.3363636363636363,0.0909090909090909,-0.009090909090909049,-0.11111111111111056
0.6,0.4,37,6,3.5792,0.4636363636363636,0.23636363636363633,0.02878787878787872,0.07272727272727265,0.7164179104477615
0.6,0.4,38,6,2.976,0.7636363636363637,0.3454545454545454,0.08939393939393946,0.06363636363636364,0.4158415841584157
0.6,0.4,39,3,2.4912,0.9272727272727272,0.509090909090909,0.1757575757575757,0.04727272727272722,0.21195652173913032
0.6,0.4,40,6,3.216,0.7,0.3909090909090909,0.13333333333333325,0.0909090909090908,0.40540540540540526
0.6,0.4,41,3,0.528,0.9363636363636364,0.32727272727272727,0.24848484848484845,0.11818181818181821,0.32231404958677695
0.6,0.4,42,2,0.664,0.8454545454545455,0.3181818181818181,0.1863636363636364,0.11060606060606056,0.3724489795918366
0.6,0.4,43,5,3.2192,0.6454545454545455,0.20909090909090908,0.13272727272727275,0.057575757575757634,0.3025477707006371
0.6,0.4,44,2,0.104,0.9272727272727272,0.2545454545454545,0.1999999999999999,0.08636363636363631,0.30158730158730157
0.6,0.4,45,7,2.2896,0.8636363636363636,0.32727272727272727,0.19740259740259733,-0.009090909090909,-0.04827586206896503
0.6,0.4,46,7,3.5648,0.6181818181818182,0.2818181818181818,0.08961038961038956,-0.0272727272727273,-0.43750000000000094
0.6,0.4,47,6,1.0944,0.9363636363636364,0.47272727272727266,0.08787878787878788,0.01818181818181815,0.17142857142857118
0.6,0.4,48,6,2.8112,0.6090909090909091,0.3181818181818182,0.08636363636363638,-0.04090909090909085,-0.8999999999999974
0.6,0.4,49,6,3.1584,0.5727272727272728,0.2909090909090909,0.08787878787878789,0.12727272727272723,0.5915492957746478
0.65,0.35,0,3,1.0416,0.9363636363636364,0.3181818181818182,0.12121212121212122,0.0727272727272727,0.3749999999999999
0.65,0.35,1,5,3.216,0.7090909090909091,0.29999999999999993,0.10545454545454544,0.0757575757575757,0.41806020066889615
0.65,0.35,2,5,3.16,0.7181818181818181,0.22727272727272724,0.10909090909090899,0.05151515151515143,0.32075471698113195
0.65,0.35,3,6,2.4944,0.8727272727272727,0.309090909090909,0.1606060606060605,0.0227272727272727,0.12396694214876026
0.65,0.35,4,7,2.9616,0.8545454545454545,0.2909090909090909,0.16363636363636355,0.1636363636363635,0.4999999999999999
0.65,0.35,5,6,3.304,0.7454545454545455,0.2818181818181818,0.053030303030303046,0.0454545454545454,0.4615384615384611
0.65,0.35,6,6,3.0624,0.8,0.48181818181818176,0.13484848484848486,0.00909090909090915,0.06315789473684248
0.65,0.35,7,5,3.704,0.8090909090909091,0.40909090909090906,0.13818181818181816,0.08484848484848477,0.3804347826086955
0.65,0.35,8,4,3.2736,0.7,0.22727272727272724,0.1522727272727272,0.13636363636363627,0.4724409448818897
0.65,0.35,9,4,2.4752,0.8545454545454545,0.48181818181818176,0.18636363636363626,0.084090909090909,0.310924369747899
0.65,0.35,10,2,2.1456,0.8636363636363636,0.309090909090909,0.17727272727272725,0.12121212121212116,0.4060913705583756
0.65,0.35,11,8,4.1776,0.7909090909090909,0.40909090909090906,0.1147727272727272,,
0.65,0.35,12,6,1.7856,0.9090909090909092,0.40909090909090906,0.07727272727272722,-0.0181818181818181,-0.3076923076923062
0.65,0.35,13,6,2.3696,0.8181818181818182,0.48181818181818176,0.08181818181818182,0.02272727272727285,0.217391304347827
0.65,0.35,14,4,2.7184,0.8363636363636363,0.3909090909090909,0.0909090909090908,0.0909090909090908,0.5
0.65,0.35,15,7,2.448,0.7363636363636363,0.29999999999999993,0.09610389610389604,0.109090909090909,0.5316455696202531
0.65,0.35,16,7,3.5952,0.8181818181818182,0.3636363636363636,0.15454545454545454,0.1727272727272727,0.5277777777777777
0.65,0.35,17,4,3.4912,0.7545454545454545,0.1727272727272727,0.09545454545454538,0.08636363636363628,0.475
0.65,0.35,18,6,2.9424,0.8181818181818182,0.44545454545454544,0.09393939393939395,0.0318181818181818,0.253012048192771
0.65,0.35,19,7,1.1504,0.8909090909090909,0.3363636363636363,0.12597402597402593,-0.0181818181818181,-0.1686746987951799
0.65,0.35,20,6,2.8,0.8181818181818182,0.44545454545454544,0.11363636363636365,0.0272727272727272,0.19354838709677374
0.65,0.35,21,6,3.0336,0.8090909090909091,0.20909090909090908,0.14090909090909085,0.1181818181818181,0.45614035087719296
0.65,0.35,22,4,1.5424,0.9090909090909092,0.39999999999999997,0.2545454545454545,0.0954545454545454,0.27272727272727265
0.65,0.35,23,6,1.2688,0.9272727272727272,0.4,0.13484848484848477,0.0272727272727272,0.16822429906542025
0.65,0.35,24,8,3.3232,0.7,0.2909090909090909,0.06704545454545448,,
0.65,0.35,25,4,2.304,0.6909090909090909,0.2636363636363636,0.12499999999999994,0.025000000000000026,0.16666666666666688
0.65,0.35,26,5,1.7984,0.8818181818181818,0.3090909090909091,0.06727272727272726,0.0818181818181818,0.5487804878048781
0.65,0.35,27,7,3.1504,0.6818181818181818,0.2818181818181818,0.09870129870129862,0.1272727272727272,0.5632183908045978
0.65,0.35,28,7,2.8896,0.8909090909090909,0.3909090909090909,0.10259740259740249,0.0818181818181817,0.4436619718309858
0.65,0.35,29,5,2.288,0.8909090909090909,0.3545454545454545,0.1309090909090908,0.0727272727272727,0.3571428571428572
0.65,0.35,30,5,2.5888,0.7636363636363637,0.2545454545454545,0.19090909090909092,0.07272727272727274,0.27586206896551724
0.65,0.35,31,5,3.5472,0.6454545454545455,0.29999999999999993,0.10727272727272727,0.12727272727272732,0.5426356589147288
0.65,0.35,32,6,2.2096,0.7909090909090909,0.3818181818181817,0.09090909090909087,0.0045454545454545504,0.04761904761904769
0.65,0.35,33,5,1.4656,0.8454545454545455,0.4818181818181818,0.12363636363636363,0.048484848484848464,0.2816901408450703
0.65,0.35,34,4,3.64,0.4454545454545454,0.22727272727272724,0.0022727272727272752,-0.049999999999999975,
0.65,0.35,35,6,3.5904,0.6454545454545455,0.22727272727272724,0.06212121212121213,0.07727272727272726,0.5543478260869563
0.65,0.35,36,3,1.32,0.8,0.3454545454545454,0.14545454545454542,0.09999999999999998,0.4074074074074074
0.65,0.35,37,8,2.2656,0.9090909090909092,0.309090909090909,0.13181818181818175,,
0.65,0.35,38,5,3.2208,0.7909090909090909,0.3909090909090909,0.05454545454545447,0.07272727272727267,0.5714285714285715
0.65,0.35,39,3,1.7984,0.9636363636363636,0.42727272727272725,0.30606060606060603,0.12363636363636357,0.2877291960507757
0.65,0.35,40,6,2.64,0.9454545454545454,0.5909090909090909,0.09696969696969693,0.0181818181818181,0.15789473684210473
0.65,0.35,41,5,2.624,0.8272727272727273,0.24545454545454543,0.10727272727272726,0.08181818181818176,0.43269230769230754
0.65,0.35,42,6,1.512,0.9454545454545454,0.3181818181818181,0.2151515151515151,0.018181818181818098,0.0779220779220776
0.65,0.35,43,4,1.7568,0.9,0.2727272727272727,0.09545454545454543,0.0931818181818181,0.49397590361445765
0.65,0.35,44,5,2.216,0.8363636363636363,0.2636363636363636,0.08181818181818176,0.09393939393939384,0.5344827586206895
0.65,0.35,45,5,2.5536,0.9454545454545454,0.5181818181818182,0.18363636363636357,0.06969696969696963,0.27511961722488026
0.65,0.35,46,6,2.8832,0.8454545454545455,0.43636363636363634,0.02727272727272723,0.0636363636363636,0.7000000000000003
0.65,0.35,47,5,1.3696,0.9363636363636364,0.3818181818181818,0.12545454545454546,-0.009090909090909033,-0.07812499999999947
0.65,0.35,48,5,2.0,0.7454545454545455,0.3636363636363636,0.10363636363636367,0.10303030303030303,0.4985337243401759
0.65,0.35,49,5,1.088,0.9272727272727272,0.3454545454545454,0.17999999999999997,0.06666666666666661,0.2702702702702701
0.7,0.30000000000000004,0,6,2.6528,0.8636363636363636,0.3727272727272727,0.1045454545454545,0.0681818181818181,0.39473684210526294
0.7,0.30000000000000004,1,3,2.5488,0.8272727272727273,0.32727272727272727,0.0848484848484848,0.0636363636363636,0.4285714285714286
0.7,0.30000000000000004,2,5,1.5344,0.8363636363636363,0.3181818181818182,0.21454545454545446,0.04545454545454539,0.1748251748251747
0.7,0.30000000000000004,3,7,2.9408,0.8727272727272727,0.309090909090909,0.10389610389610382,0.2454545454545453,0.7026022304832714
0.7,0.30000000000000004,4,4,0.6416,0.9727272727272728,0.3363636363636363,0.08181818181818185,0.04772727272727275,0.368421052631579
0.7,0.30000000000000004,5,3,0.3792,0.9272727272727272,0.32727272727272727,0.18181818181818177,0.09090909090909081,0.33333333333333315
0.7,0.30000000000000004,6,7,3.1056,0.7454545454545455,0.3636363636363636,0.1792207792207792,0.1454545454545455,0.4480000000000002
0.7,0.30000000000000004,7,5,3.3584,0.7,0.2727272727272727,0.11090909090909082,0.048484848484848374,0.3041825095057031
0.7,0.30000000000000004,8,6,2.7696,0.8454545454545455,0.3909090909090909,0.07575757575757572,0.0772727272727272,0.5049504950495048
0.7,0.30000000000000004,9,8,1.9024,0.9090909090909092,0.2727272727272727,0.11249999999999992,,
0.7,0.30000000000000004,10,8,2.5552,0.7,0.3727272727272727,0.08636363636363628,,
0.7,0.30000000000000004,11,5,3.3248,0.6818181818181818,0.41818181818181815,0.10181818181818174,0.030303030303030203,0.22935779816513716
0.7,0.30000000000000004,12,6,2.5312,0.8636363636363636,0.3090909090909091,0.13787878787878785,0.1318181818181818,0.48876404494382025
0.7,0.30000000000000004,13,7,3.8064,0.6727272727272727,0.3363636363636363,0.06493506493506492,0.0454545454545454,0.4117647058823527
0.7,0.30000000000000004,14,7,2.2512,0.8181818181818182,0.309090909090909,0.1142857142857143,0.1181818181818182,0.5083798882681564
0.7,0.30000000000000004,15,7,2.288,0.9,0.2909090909090909,0.12727272727272726,0.0545454545454545,0.2999999999999998
0.7,0.30000000000000004,16,5,3.4816,0.6272727272727273,0.22727272727272724,0.11090909090909092,0.012121212121212135,0.09852216748768483
0.7,0.30000000000000004,17,5,1.3248,0.8636363636363636,0.4,0.13272727272727267,0.027272727272727327,0.1704545454545458
0.7,0.30000000000000004,18,6,2.5344,0.8,0.3636363636363636,0.0909090909090909,0.040909090909090895,0.3103448275862069
0.7,0.30000000000000004,19,6,1.7968,0.8636363636363636,0.27272727272727265,0.13484848484848483,0.09999999999999999,0.42580645161290326
0.7,0.30000000000000004,20,2,1.592,0.6636363636363637,0.5181818181818182,0.004545454545454651,0.016666666666666715,0.7857142857142823
0.7,0.30000000000000004,21,7,1.976,0.7818181818181819,0.32727272727272727,0.14935064935064937,0.0727272727272727,0.32748538011695894
0.7,0.30000000000000004,22,6,2.976,0.7272727272727273,0.29999999999999993,0.07272727272727271,-0.0227272727272727,-0.4545454545454539
0.7,0.30000000000000004,23,6,0.88,1.0,0.3818181818181818,0.06060606060606053,0.04545454545454545,0.4285714285714288
0.7,0.30000000000000004,24,4,0.2624,1.0,0.3454545454545454,0.11363636363636358,0.04545454545454545,0.2857142857142858
